id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
44911,2018,126954000,7594919,7594919,8211463,616544
108530,2018,44923680,1710640,1710640,1849549,138909
161343,2018,60628760,2868456,2868456,3101346,232890
113073,2018,33347000,1643658,1643658,1777071,133414
65524,2018,23735264,943285,943285,1019850,76565
172461,2018,41457089,1875166,1875166,2027386,152220
120484,2018,19331000,1028405,1028405,1111904,83499
270452,2018,33387996,498369,498369,538821,40452
256228,2018,86510200,3844782,3844782,4156937,312155
66537,2018,68589592,4042552,4042552,4370701,328149
137098,2018,41326440,1707577,1707577,1846179,138602
108750,2018,36158000,1605559,1605559,1735904,130346
96869,2018,21548072,826150,826150,893207,67058
108902,2018,101989200,1272631,1272631,1375929,103298
66754,2018,13690680,273449,273449,295723,22274
21073,2018,11314000,292025,292025,315729,23703
275935,2018,36163200,1033405,1033405,1117286,83880
255282,2018,11893800,470582,470582,508779,38197
232618,2018,90856800,4109917,4109917,4443514,333597
21149,2018,50731104,2577090,2577090,2786368,209277
234419,2018,28892800,700133,700133,757007,56873
62598,2018,31989520,1395831,1395831,1509129,113298
198550,2018,17990360,399800,399800,432349,32549
211903,2018,166644000,7453319,7453319,8058385,605065
37341,2018,51461800,2007245,2007245,2170186,162940
30715,2018,45947000,1668301,1668301,1803754,135453
208126,2018,36662200,1200784,1200784,1298250,97466
120206,2018,54355000,2590631,2590631,2800919,210288
294923,2018,72388800,4823431,4823431,5214943,391512
253380,2018,32496436,1668586,1668586,1804047,135462
282522,2018,54967000,2482342,2482342,2683880,201538
135867,2018,53698600,2249014,2249014,2431564,182550
22608,2018,51209560,2849867,2849867,3081212,231345
277599,2018,123389000,7227694,7227694,7814357,586663
135466,2018,35039400,1328760,1328760,1436614,107854
76109,2018,18760400,1011952,1011952,1094092,82140
278726,2018,41889400,1575065,1575065,1702931,127866
29836,2018,60825300,2340086,2340086,2530029,189942
258715,2018,33506000,1692228,1692228,1829606,137378
180339,2018,55997000,1352487,1352487,1462303,109817
145844,2018,26293400,1040679,1040679,1125150,84471
86197,2018,193463600,7542750,7542750,8155094,612344
288489,2018,143472000,5152360,5152360,5570571,418211
151476,2018,12306660,199907,199907,216164,16258
15047,2018,131932000,6247714,6247714,6754865,507151
180911,2018,38128160,1040225,1040225,1124669,84444
187527,2018,51136100,2561801,2561801,2769739,207938
104255,2018,64546680,2086028,2086028,2255349,169320
186903,2018,16071960,400997,400997,433564,32567
159906,2018,18765600,1011814,1011814,1093957,82142
111855,2018,119288200,7602845,7602845,8219969,617124
205105,2018,32688000,1302748,1302748,1408495,105747
95438,2018,10109700,357629,357629,386657,29028
227584,2018,300459000,25957236,25957236,28064322,2107085
19650,2018,31150000,1010350,1010350,1092437,82087
187587,2018,14236800,276665,276665,299121,22457
256900,2018,56857872,2226922,2226922,2407679,180757
294295,2018,34300000,821207,821207,887986,66779
134079,2018,33575000,876443,876443,947588,71145
165609,2018,12030200,348634,348634,376952,28318
249509,2018,103306600,5091121,5091121,5504381,413260
158827,2018,25226920,1244854,1244854,1345902,101048
32502,2018,96976200,4142591,4142591,4478899,336308
33139,2018,87013000,4421762,4421762,4780780,359017
135171,2018,30607280,869317,869317,939909,70592
287264,2018,66699000,3214979,3214979,3476288,261309
276448,2018,35427240,1686706,1686706,1823614,136908
